SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,option No.,Remarks_1
1,1,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
2,2,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3,3,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
4,4,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
5,5,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
6,6,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
7,7,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
8,8,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
9,9,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
10,10,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
11,11,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
12,12,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
13,13,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
14,14,All India,"SETH G.S. MEDICAL
COLLEGE, MUMBAI",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
15,15,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
16,16,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
17,17,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
18,18,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
19,19,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
20,20,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
21,21,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
22,22,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
23,23,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24,24,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
25,25,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
26,26,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
27,27,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
28,28,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
29,29,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
30,30,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
31,31,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
32,32,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
33,33,All India,"BAHIRAMJEE
JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
34,34,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
35,35,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
36,36,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
37,37,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
38,38,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
39,39,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
40,40,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
41,41,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
42,42,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
43,43,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
44,44,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
45,45,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
46,46,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
47,47,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
48,48,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
49,49,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
50,50,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
51,51,All India,"S.M.S. MEDICAL
COLLEGE, JAIPUR",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
52,52,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
53,53,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
54,54,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
55,55,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
56,56,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
57,57,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
58,58,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
59,59,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
60,60,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
61,61,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
62,63,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
63,64,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
64,65,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
65,66,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
66,67,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
67,68,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
68,69,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
69,70,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
70,71,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
71,72,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
72,73,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
73,74,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
74,75,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
75,76,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
76,77,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
77,78,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
78,79,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
79,80,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
80,81,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
81,82,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
82,83,All India,"MEDICAL COLLEGE,
KOLKATA",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
83,84,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
84,85,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
85,86,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
86,87,All India,"Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
87,88,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
88,89,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
89,90,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
90,91,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
91,92,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
92,93,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
93,94,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
94,95,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
95,96,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
96,97,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
97,98,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
98,99,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
99,100,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
100,101,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
101,102,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
102,103,"Open Seat
Quota","AIIMS, Patna",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
103,104,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
104,105,All India,"THOOTHUKUDI
MEDICAL
COLLEGE,THOOTH
UKUDI",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
105,106,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
106,107,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
107,108,"Open Seat
Quota","AIIMS-Bhopal,",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
108,109,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
109,110,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
110,111,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
111,112,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
112,113,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
113,114,All India,"SETH G.S. MEDICAL
COLLEGE, MUMBAI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
114,115,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
115,116,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
116,117,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
117,118,"Open Seat
Quota",AIIMS Rajkot,MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
118,119,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
119,120,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
120,121,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
121,122,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
122,123,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
123,124,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
124,125,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
125,126,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
126,127,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
127,128,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
128,129,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
129,130,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
130,131,"Open Seat
Quota",AIIMS Jammu,MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
131,132,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
132,133,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
133,134,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
134,135,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
135,136,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
136,137,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,"Not
Reported","Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Open,GN,1,"Fresh Allotted
in 2nd Round"
137,138,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
138,139,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
139,140,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
140,141,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
141,142,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
142,143,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,All India,"Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Open,GN,2,Upgraded
143,144,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
144,145,"Open Seat
Quota","AIIMS, Jodhpur",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
145,146,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
146,147,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
147,148,All India,"Atal Bihari Vajpayee
Institute of Medical
Sciences & DR RML
HOSPITAL, NEW
DELHI",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
148,149,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
149,150,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
150,151,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
151,152,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
152,153,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
153,154,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
154,155,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
155,156,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
156,157,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
157,158,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
158,159,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
159,160,All India,"GOVT.MEDICAL
COLLEGE,
THRISSUR",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
160,161,All India,"Atal Bihari Vajpayee
Institute of Medical
Sciences & DR RML
HOSPITAL, NEW
DELHI",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
161,162,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
162,163,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
163,164,All India,"Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
164,165,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
165,166,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
166,167,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
167,168,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
168,169,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
169,170,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
170,171,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
171,172,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
172,173,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
173,174,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
174,175,"Open Seat
Quota","AIIMS, Jodhpur",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
175,176,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
176,177,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
177,178,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
178,179,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
179,180,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
180,181,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
181,182,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
182,183,"Open Seat
Quota","AIIMS, Jodhpur",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
183,184,All India,"GOVT. MEDICAL
COLLEGE,
KOZHIKODE",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
184,185,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
185,186,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
186,187,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
187,188,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
188,189,"Open Seat
Quota","AIIMS, Jodhpur",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
189,190,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
190,191,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
191,192,"Open Seat
Quota","AIIMS, New Delhi",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
192,193,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
193,194,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
194,195,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
195,196,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
196,197,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
197,198,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
198,199,All India,"University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
199,200,"Open Seat
Quota","AIIMS-Bhopal,",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
200,201,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
201,202,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
202,203,All India,"Atal Bihari Vajpayee
Institute of Medical
Sciences & DR RML
HOSPITAL, NEW
DELHI",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
203,204,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
204,205,All India,"B.J. MEDICAL
COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
205,206,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
