SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Remarks_1,Allotted Quota_2,"Allotte
d
Institu
te",Course_2,Allotted Category,"candidat
e
Category","option
No.",Remarks_2
3194,3817,All India,"Dr Ram Manohar
Lohia Inst. of
Med. Sce.,
Lucknow",MBBS,Reported,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3195,3818,All India,"GOVT. KILPAUK
MEDICAL
COLLEGE,CHE
NNAI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3196,3820,All India,"GOVT.
MEDICAL
COLLEGE,
KOTTAYAM",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3197,3823,-,-,-,-,All India,"GOVT.MEDICAL
COLLEGE,
THRISSUR",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3198,3824,"Open
Seat
Quota",AIIMS Jammu,MBBS,"Seat
Surrende
red",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3199,3826,All India,"Dr. B.R.
Ambedkar State
Institute of
Medical
Sciences",MBBS,"Not
Reported",All India,"STANLEY
MEDICAL
COLLEGE,
CHENNAI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3200,3827,All India,"Osmania Medical
College Koti",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3201,3828,"Open
Seat
Quota",AIIMS Guwahati,MBBS,Reported,"Open Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3202,3829,All India,"Hinduhridayasa
mrat Balasaheb
Thackeray
Medical College
and Dr. R. N.
Cooper
Municipal
General Hospital,
Maharashtra",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3203,3830,-,-,-,-,All India,"SARDAR PATEL
MEDICAL
COLLEGE,
BIKANER",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3204,3832,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3205,3834,"Open
Seat
Quota",AIIMS Guwahati,MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3206,3835,All India,"PATNA
MEDICAL
COLLEGE,
PATNA",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3207,3837,"Open
Seat
Quota","JIPMER
KARAIKAL",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3208,3838,All India,"MG Inst. of
Medical
Sciences,
Sevagram
Wardha",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Jammu,MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3209,3839,"Open
Seat
Quota",AIIMS Guwahati,MBBS,"Not
Reported",All India,"DR.S.N.
MEDICAL
COLLEGE,
JODHPUR",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3210,3840,"Open
Seat
Quota","AIIMS-Bhopal,",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3211,3841,All India,"R.N.T. MEDICAL
COLLEGE,
UDAIPUR",MBBS,Reported,All India,"DR.S.N.
MEDICAL
COLLEGE,
JODHPUR",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3212,3842,All India,"ESIC Medical
College,
Faridabad",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3213,3844,-,-,-,-,All India,"RUHS College of
Medical
Sciences, Jaipur",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,"Not
Allotted."
3214,3845,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3215,3847,All India,"INDIRA GANDHI
GOVT.MEDICAL
COLL., NAGPUR",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3216,3848,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",All India,"SETH G.S.
MEDICAL
COLLEGE,
MUMBAI",MBBS,Reported,"Open
Seat
Quota","AIIMS,
Kalyani,
NH-34
Connect
or,
Basantap
ur,
Saguna,
Kalyani,
741245,
West
Bengal,
India,
West
Bengal,
741245",MBBS,OBC,OBC,11,Upgraded
3217,3851,All India,"Gandhi Medical
College
Musheerabad
Secunderabad",MBBS,Reported,-,-,-,-,All India,"Bangalor
e
Medical
College
and
Researc
h
Institute,
K R
ROAD
FORT
BENGAL
URU,
Karnatak
a,
560002",MBBS,OBC,OBC,14,Upgraded
3218,3852,All India,"University
College of
Medical
Sciences, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3219,3856,-,-,-,-,All India,"MAHARAJA K.C.
GAJAPATI
M.C.,BRAHMAP
UR",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3220,3858,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3221,3859,All India,"R.N.T. MEDICAL
COLLEGE,
UDAIPUR",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3222,3861,"Open
Seat
Quota",AIIMS Jammu,MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3223,3862,"Open
Seat
Quota",AIIMS Jammu,MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3224,3864,All India,"RUHS College of
Medical
Sciences, Jaipur",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3225,3867,All India,"R.N.T. MEDICAL
COLLEGE,
UDAIPUR",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3226,3868,-,-,-,-,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3227,3870,"Open
Seat
Quota","AIIMS, Kalyani",MBBS,Reported,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3228,3873,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3229,3875,"Open
Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3230,3878,All India,"MEDICAL
COLLEGE,
KOLKATA",MBBS,Reported,"Open Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3231,3880,All India,"JAWAHAR LAL
NEHRU
MEDICAL,
AJMER",MBBS,"Not
Reported","Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3232,3884,All India,"Osmania Medical
College Koti",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3233,3885,All India,"Dr Ram Manohar
Lohia Inst. of
Med. Sce.,
Lucknow",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3234,3886,All India,"GOVT.
MEDICAL
COLLEGE,
NAGPUR",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3235,3888,"Open
Seat
Quota",AIIMS Jammu,MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3236,3889,"IP
Universit
y Quota","Atal Bihari
Vajpayee
Institute of
Medical
Sciences & DR
RML HOSPITAL,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3237,3892,"Open
Seat
Quota","AIIMS, Madurai",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3238,3894,All India,"BELGAUM INST.
OF MEDICAL
SCI., BELGAUM",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3239,3895,-,-,-,-,"Delhi
University
Quota","Lady Hardinge
Medical College,
New
Delhi(Female
Seat only )",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3240,3896,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3241,3900,"Delhi
Universit
y Quota","University
College of
Medical
Sciences, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3242,3901,"Delhi
Universit
y Quota","Lady Hardinge
Medical College,
New
Delhi(Female
Seat only )",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3243,3902,All India,"ATAL BIHARI
VAJPAYEE
GOVERNMENT
MEDICAL
COLLEGE,
VIDISHA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3244,3905,All India,"PT. B.D.
SHARMA
PGIMS,
ROHTAK",MBBS,Reported,-,-,-,-,"Open
Seat
Quota","AIIMS
Bilaspur
Changar
Palasiya
n,
Himachal
Pradesh,
All India
Institute
of
Medical
Sciences
AIIMS
Bilaspur
Kothipur
a
BILASPU
R
Himachal
Pradesh
174001,
Himachal
Pradesh,
174001",MBBS,OBC,OBC,11,Upgraded
3245,3907,All India,"L.L.R.M.
MEDICAL
COLLEGE,
MEERUT",MBBS,"Not
Reported",All India,"L.L.R.M.
MEDICAL
COLLEGE,
MEERUT",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,"Not
Allotted."
3246,3908,All India,"RAJENDRA
INST. OF MED.
SCI., RANCHI",MBBS,Reported,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3247,3909,All India,"GOVT.MEDICAL
COLLEGE,
AMRITSAR",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Jammu,MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
3248,3910,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3249,3911,All India,"MADRAS
MEDICAL
COLLEGE,
CHENNAI",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3250,3912,"Open
Seat
Quota","JIPMER
KARAIKAL",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3251,3916,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3252,3917,"Open
Seat
Quota",AIIMS Guwahati,MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3253,3918,All India,"COIMBATORE
MEDICAL
COLLEGE,COIM
BATORE",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3254,3919,All India,"GOVT.MEDICAL
COLLEGE,
THRISSUR",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3255,3920,All India,"GOVT.MEDICAL
COLLEGE,
KOTA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3256,3922,"Open
Seat
Quota","AIIMS, Madurai",MBBS,Reported,"Open Seat
Quota",AIIMS Jammu,MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3257,3925,-,-,-,-,"Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3258,3926,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Guwahati,MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3259,3927,All India,"Indira Gandhi
Institute of
Medical
Sciences, Patna",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Guwahati,MBBS,"Seat
Surrende
red",-,-,-,-,-,-,"Not
Allotted."
3260,3928,-,-,-,-,"Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3261,3929,All India,"S.N. MEDICAL
COLLEGE,
AGRA",MBBS,Reported,All India,"Dr Ram Manohar
Lohia Inst. of
Med. Sce.,
Lucknow",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3262,3934,All India,"NILRATAN
SIRKAR
MEDICAL
COLLEGE,
KOLKATA",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3263,3935,All India,"RAJENDRA
INST. OF MED.
SCI., RANCHI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3264,3936,All India,"COIMBATORE
MEDICAL
COLLEGE,COIM
BATORE",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3265,3937,All India,"JAWAHAR LAL
NEHRU
MEDICAL,
AJMER",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3266,3939,All India,"JAWAHAR LAL
NEHRU
MEDICAL,
AJMER",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3267,3942,"Open
Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3268,3943,All India,"T.D. MEDICAL
COLLEGE,
ALLAPPUZHA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3269,3944,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3270,3948,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3271,3951,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,Reported,All India,"GOVT.
MEDICAL
COLLEGE,
NAGPUR",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3272,3952,All India,"CALCUTTA
NATIONAL MED
COLL,KOLKATA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3273,3953,-,-,-,-,All India,"GOVT.
MEDICAL
COLLEGE,PATI
ALA",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,"Not
Allotted."
3274,3955,"Open
Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3275,3956,All India,"GOVT.
MEDICAL
COLLEGE,
NAGPUR",MBBS,Reported,"Open Seat
Quota",AIIMS Guwahati,MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3276,3959,"Open
Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,"Open Seat
Quota",AIIMS Bathinda,MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3277,3960,All India,"GOVT.MEDICAL
COLLEGE,
THRISSUR",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3278,3961,All India,"MEDICAL
COLLEGE,
KOLKATA",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3279,3964,All India,"GOVT.
MEDICAL
COLLEGE,
NAGPUR",MBBS,"Seat
Surrende
red",-,-,-,-,All India,"Shri Atal
Bihari
Vajpayee
Medical
College
&
Researc
h
Institute,
Bengalur
u,SHIVA
JINAGA
R,
BENGAL
URU,
Karnatak
a,
560001",MBBS,Open,GN,4,"Fresh
Allotted in
3nd
Round"
3280,3966,All India,"COIMBATORE
MEDICAL
COLLEGE,COIM
BATORE",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3281,3967,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3282,3968,All India,"GANDHI
MEDICAL
COLLEGE,
BHOPAL",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3283,3969,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3284,3972,All India,"Govt. Medical
College, Jammu",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3285,3973,-,-,-,-,"Open Seat
Quota",AIIMS Guwahati,MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3286,3974,All India,"ESI-
MC&PGIMS&R,
Banglore",MBBS,"Not
Reported","Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,"Not
Reported",-,-,-,-,-,-,"Not
Allotted."
3287,3975,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3288,3976,All India,"GOVT. KILPAUK
MEDICAL
COLLEGE,CHE
NNAI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3289,3978,All India,"Hinduhridayasa
mrat Balasaheb
Thackeray
Medical College
and Dr. R. N.
Cooper
Municipal
General Hospital,
Maharashtra",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3290,3980,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3291,3982,"Delhi
Universit
y Quota","Lady Hardinge
Medical College,
New
Delhi(Female
Seat only )",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3292,3984,All India,"NETAJI
SUBHASH
CHANDRA
BOSE
MC,JABALPUR",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3293,3985,"Open
Seat
Quota","AIIMS,
Bhubaneswar",MBBS,Reported,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3294,3987,"Delhi
Universit
y Quota","Maulana Azad
Medical College,
New Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3295,3988,"Delhi
Universit
y Quota","University
College of
Medical
Sciences, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3296,3989,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3297,3990,All India,"GOVT.
MEDICAL
COLLEGE,
KOTTAYAM",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3298,3991,All India,"GOVT.
MEDICAL
COLLEGE,
KOTTAYAM",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3299,3993,"Open
Seat
Quota","AIIMS, Madurai",MBBS,Reported,"Open Seat
Quota","JIPMER
KARAIKAL",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3300,3994,All India,"Hinduhridayasa
mrat Balasaheb
Thackeray
Medical College
and Dr. R. N.
Cooper
Municipal
General Hospital,
Maharashtra",MBBS,"Seat
Surrende
red",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3301,3995,"Open
Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,All India,"RAJEND
RA INST.
OF MED.
SCI.,
RANCHI,
Director,
Rajendra
Institute
of
Medical
Sciences
,
Bariatu,R
anchi,
Jharkhan
d,
843009",MBBS,Open,EWS,1,Upgraded
3302,3996,"Aligarh
Muslim
Universit
y (AMU)
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,Reported,"Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3303,3997,"Deemed/
Paid
Seats
Quota","Kasturba Medical
College, Manipal
Univ., Manipal",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3304,3999,All India,"MADURAI
MEDICAL
COLLEGE,
MADURAI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3305,4000,All India,"GOVT.MEDICAL
COLLEGE,
THRISSUR",MBBS,"Not
Reported",All India,"GOVT.
MEDICAL
COLLEGE,
KOTTAYAM",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3306,4001,All India,"MADURAI
MEDICAL
COLLEGE,
MADURAI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3307,4003,All India,"S.C.B. MEDICAL
COLLEGE,
CUTTACK",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3308,4004,All India,"Shri Atal Bihari
Vajpayee
Medical College
& Research
Institute,
Bengaluru",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Not
Allotted."
3309,4005,"Open
Seat
Quota","AIIMS, Madurai",MBBS,Reported,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3310,4010,All India,"Dr Ram Manohar
Lohia Inst. of
Med. Sce.,
Lucknow",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3311,4011,All India,"Rangaraya
Medical College,
Kakinada",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3312,4012,"Aligarh
Muslim
Universit
y (AMU)
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3313,4013,All India,"DR.S.N.
MEDICAL
COLLEGE,
JODHPUR",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,"Open
Seat
Quota","AIIMS
Rajkot,M
BBS
admissio
n cell
Room
No.3,
Ground
floor,
AYUSH,
Permane
nt
Campus,
AIIMS
Rajkot,
Khanderi
, Gujarat,
360006",MBBS,OBC,OBC,12,Upgraded
3314,4017,"Open
Seat
Quota","AIIMS, Madurai",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3315,4019,All India,"DR.S.N.
MEDICAL
COLLEGE,
JODHPUR",MBBS,"Not
Reported",All India,"SARDAR PATEL
MEDICAL
COLLEGE,
BIKANER",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3316,4021,All India,"B.J. Government
Medical College,
Pune",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3317,4026,All India,"GUWAHATI
MEDICAL
COLLEGE,
GUWAHATI",MBBS,Reported,"Open Seat
Quota",AIIMS Guwahati,MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3318,4029,All India,"T.D. MEDICAL
COLLEGE,
ALLAPPUZHA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3319,4030,"Open
Seat
Quota","AIIMS, Bibi
Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"No
Upgradati
on"
3320,4031,"Open
Seat
Quota","AIIMS-Bhopal,",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3321,4032,All India,"PATNA
MEDICAL
COLLEGE,
PATNA",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3322,4034,All India,"GOVT.
MEDICAL
COLLEGE,
NAGPUR",MBBS,Reported,All India,"LOKMANYA
TILAK
MUNICIPAL M
C,MUMBAI",MBBS,Reported,All India,"GRANT
MEDICA
L COLL
& SIR
J.J.HOS
P,MUMB
AI,Sir JJ
Group of
Hospital
Compou
nd, Sir JJ
Road,
Byculla
Mumbai,
Maharas
htra,
400008",MBBS,Open,GN,23,Upgraded
3323,4036,-,-,-,-,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3324,4039,-,-,-,-,"Open Seat
Quota","JIPMER
KARAIKAL",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3325,4040,"Open
Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported","Open Seat
Quota","Jawaharlal
Nehru Medical
College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3326,4041,All India,"L.L.R.M.
MEDICAL
COLLEGE,
MEERUT",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3327,4042,All India,"R.G. KAR
MEDICAL
COLLEGE,KOLK
ATA",MBBS,"Not
Reported",All India,"NILRATAN
SIRKAR
MEDICAL
COLLEGE,
KOLKATA",MBBS,Reported,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3328,4043,-,-,-,-,All India,"PT. B.D.
SHARMA
PGIMS,
ROHTAK",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3329,4044,"Open
Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3330,4046,All India,"R.G. KAR
MEDICAL
COLLEGE,KOLK
ATA",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3331,4047,-,-,-,-,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill
up fresh
choices."
3332,4048,All India,"GRANT
MEDICAL COLL
& SIR
J.J.HOSP,MUMB
AI",MBBS,Reported,"Open Seat
Quota","AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradati
on"
3333,4050,All India,"M.G.M.
MEDICAL
COLLEGE,
INDORE",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
3334,4051,All India,"JAWAHAR LAL
NEHRU
MEDICAL,
AJMER",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
